id,name,email,joined_date,status
41,Katherine Gosling,katherine.gosling4032@example.com,2022-01-21,ACTIVE
42,Donald Backus,donald.backus9328@example.com,2022-06-01,ACTIVE
43,James Nakamoto,james.nakamoto738@example.com,2021-07-27,ACTIVE
44,Ada van Rossum,ada.van.rossum850@example.com,2022-11-07,ACTIVE
45,Linus Allen,linus.allen1007@example.com,2021-09-10,ACTIVE
46,Tim van Rossum,tim.van.rossum3725@example.com,2023-12-07,ACTIVE
47,James Ritchie,james.ritchie1030@example.com,2022-06-16,ACTIVE
48,Linus Gosling,linus.gosling4110@example.com,2023-05-31,ACTIVE
49,Guido Nakamoto,guido.nakamoto911@example.com,2022-12-08,ACTIVE
50,Dennis Dijkstra,dennis.dijkstra1223@example.com,2021-03-24,ACTIVE
51,Edsger van Rossum,edsger.van.rossum7770@example.com,2021-09-12,ACTIVE
52,Dennis Jackson,dennis.jackson4502@example.com,2021-01-24,ACTIVE
53,John Gosling,john.gosling955@example.com,2023-11-05,ACTIVE
54,Tim Lovelace,tim.lovelace7173@example.com,2022-05-21,ACTIVE
55,Margaret Gosling,margaret.gosling785@example.com,2021-02-01,ACTIVE
56,Satoshi Allen,satoshi.allen4166@example.com,2021-05-02,ACTIVE
57,John Gosling,john.gosling8456@example.com,2022-12-19,ACTIVE
58,Margaret Hamilton,margaret.hamilton9737@example.com,2021-11-08,ACTIVE
59,Dennis Nakamoto,dennis.nakamoto3782@example.com,2022-05-21,ACTIVE
60,Claude van Rossum,claude.van.rossum9303@example.com,2022-10-16,ACTIVE
61,Mary Turing,mary.turing83@example.com,2021-09-14,ACTIVE
62,Ada Lamarr,ada.lamarr7263@example.com,2023-05-15,ACTIVE
63,Ken Torvalds,ken.torvalds1129@example.com,2023-10-17,ACTIVE
64,Ken Lamarr,ken.lamarr5539@example.com,2023-05-08,ACTIVE
65,John Hamilton,john.hamilton2092@example.com,2022-03-19,ACTIVE
66,Donald Liskov,donald.liskov8942@example.com,2022-05-08,ACTIVE
67,Tim Backus,tim.backus384@example.com,2022-05-09,ACTIVE
68,Edsger van Rossum,edsger.van.rossum6830@example.com,2023-11-16,ACTIVE
69,Ken Berners-Lee,ken.berners-lee9784@example.com,2021-05-13,ACTIVE
70,Hedy Knuth,hedy.knuth3094@example.com,2022-06-23,ACTIVE
71,Hedy Berners-Lee,hedy.berners-lee3853@example.com,2021-09-19,ACTIVE
72,Guido Hopper,guido.hopper6166@example.com,2022-03-22,ACTIVE
73,Margaret Shannon,margaret.shannon1706@example.com,2021-09-04,ACTIVE
74,Barbara Ritchie,barbara.ritchie1925@example.com,2021-12-24,ACTIVE
75,John Johnson,john.johnson8492@example.com,2021-08-31,ACTIVE
76,Linus Dijkstra,linus.dijkstra5041@example.com,2023-06-06,ACTIVE
77,Guido Berners-Lee,guido.berners-lee9919@example.com,2023-11-19,ACTIVE
78,Claude Lovelace,claude.lovelace8627@example.com,2022-11-09,ACTIVE
79,Edsger Turing,edsger.turing6415@example.com,2021-01-05,ACTIVE
80,Hedy Berners-Lee,hedy.berners-lee9999@example.com,2023-03-20,SUSPENDED
81,John Jackson,john.jackson9384@example.com,2022-06-13,ACTIVE
82,Linus Ritchie,linus.ritchie108@example.com,2023-04-02,SUSPENDED
83,John Allen,john.allen2964@example.com,2022-02-24,ACTIVE
84,Barbara Turing,barbara.turing7471@example.com,2022-12-21,SUSPENDED
85,Tim Johnson,tim.johnson9167@example.com,2023-06-01,ACTIVE
86,Frances Nakamoto,frances.nakamoto6862@example.com,2021-08-19,SUSPENDED
87,Edsger Turing,edsger.turing2251@example.com,2021-12-01,ACTIVE
88,Donald Backus,donald.backus3644@example.com,2021-11-25,ACTIVE
89,Dennis Lamarr,dennis.lamarr5279@example.com,2022-09-24,ACTIVE
90,Grace Liskov,grace.liskov4259@example.com,2023-04-16,ACTIVE
91,Ada Lovelace,ada.lovelace4729@example.com,2021-01-14,ACTIVE
92,Tim Allen,tim.allen8991@example.com,2021-07-26,ACTIVE
93,Grace Knuth,grace.knuth9566@example.com,2023-02-06,ACTIVE
94,Tim Gosling,tim.gosling824@example.com,2023-04-25,ACTIVE
95,Tim Hamilton,tim.hamilton656@example.com,2023-01-31,ACTIVE
96,Grace Torvalds,grace.torvalds597@example.com,2021-04-05,ACTIVE
97,Edsger Berners-Lee,edsger.berners-lee9263@example.com,2023-02-05,ACTIVE
98,Frances Nakamoto,frances.nakamoto1870@example.com,2023-11-06,ACTIVE
99,Tim Knuth,tim.knuth6701@example.com,2023-09-23,ACTIVE
100,Barbara Lamarr,barbara.lamarr9502@example.com,2023-05-01,ACTIVE
101,Mary Hopper,mary.hopper7665@example.com,2022-11-14,ACTIVE
102,Grace Johnson,grace.johnson4830@example.com,2021-09-22,ACTIVE
103,Tim Berners-Lee,tim.berners-lee5638@example.com,2021-11-15,ACTIVE
104,Dennis van Rossum,dennis.van.rossum801@example.com,2021-10-16,ACTIVE
105,Edsger Johnson,edsger.johnson8123@example.com,2022-09-20,ACTIVE
106,Claude Backus,claude.backus9302@example.com,2021-09-29,ACTIVE
107,Grace Jackson,grace.jackson5737@example.com,2022-12-27,ACTIVE
108,Tim Allen,tim.allen889@example.com,2022-03-04,ACTIVE
109,Satoshi Allen,satoshi.allen9822@example.com,2023-07-26,ACTIVE
110,Mary Lovelace,mary.lovelace9156@example.com,2023-10-10,ACTIVE
111,Katherine Knuth,katherine.knuth7504@example.com,2023-11-15,ACTIVE
112,John Lamarr,john.lamarr3668@example.com,2022-03-18,ACTIVE
113,Tim Nakamoto,tim.nakamoto4931@example.com,2022-11-06,ACTIVE
114,Edsger Lovelace,edsger.lovelace2150@example.com,2021-04-16,ACTIVE
115,Dennis Dijkstra,dennis.dijkstra1988@example.com,2021-05-07,ACTIVE
116,Donald Knuth,donald.knuth4250@example.com,2023-05-05,ACTIVE
117,Grace Berners-Lee,grace.berners-lee8748@example.com,2022-04-11,ACTIVE
118,Linus Shannon,linus.shannon7054@example.com,2022-02-12,ACTIVE
119,Katherine Nakamoto,katherine.nakamoto2223@example.com,2022-03-17,ACTIVE
120,Barbara Hamilton,barbara.hamilton9949@example.com,2022-02-08,ACTIVE
121,Donald Turing,donald.turing4568@example.com,2021-07-23,ACTIVE
122,Edsger Jackson,edsger.jackson5448@example.com,2021-08-04,ACTIVE
123,Tim Lovelace,tim.lovelace1158@example.com,2023-04-24,ACTIVE
124,Alan Hamilton,alan.hamilton417@example.com,2022-04-12,ACTIVE
125,Frances van Rossum,frances.van.rossum2121@example.com,2021-08-25,ACTIVE
126,Mary Lovelace,mary.lovelace7156@example.com,2021-03-17,ACTIVE
127,Claude Nakamoto,claude.nakamoto1310@example.com,2021-08-09,ACTIVE
128,Claude Liskov,claude.liskov1146@example.com,2021-08-18,ACTIVE
129,Guido Liskov,guido.liskov4158@example.com,2022-08-12,SUSPENDED
130,Dennis Lovelace,dennis.lovelace1134@example.com,2023-05-04,ACTIVE
131,Katherine Hopper,katherine.hopper5570@example.com,2021-02-07,ACTIVE
132,Ken Backus,ken.backus5409@example.com,2023-03-02,ACTIVE
133,Grace Hopper,grace.hopper3747@example.com,2022-06-02,ACTIVE
134,Dennis Berners-Lee,dennis.berners-lee3014@example.com,2022-04-01,ACTIVE
135,Margaret Nakamoto,margaret.nakamoto3807@example.com,2021-10-02,ACTIVE
136,Claude Liskov,claude.liskov2561@example.com,2022-03-02,ACTIVE
137,Hedy van Rossum,hedy.van.rossum3969@example.com,2022-07-22,ACTIVE
138,John Dijkstra,john.dijkstra7032@example.com,2021-12-07,ACTIVE
139,Frances Knuth,frances.knuth9736@example.com,2022-04-24,ACTIVE
140,James Ritchie,james.ritchie2727@example.com,2023-06-28,ACTIVE
141,Frances Torvalds,frances.torvalds90@example.com,2023-09-01,ACTIVE
142,Margaret Lovelace,margaret.lovelace3830@example.com,2023-03-23,ACTIVE
143,Alan Lovelace,alan.lovelace2706@example.com,2022-12-29,ACTIVE
144,Katherine Lovelace,katherine.lovelace7070@example.com,2022-07-06,ACTIVE
145,Guido Allen,guido.allen6922@example.com,2023-01-20,ACTIVE
146,John Liskov,john.liskov7933@example.com,2023-10-20,ACTIVE
147,Dennis Berners-Lee,dennis.berners-lee2573@example.com,2021-08-20,ACTIVE
148,Linus van Rossum,linus.van.rossum5317@example.com,2022-11-12,ACTIVE
149,Margaret Knuth,margaret.knuth4267@example.com,2022-02-06,SUSPENDED
150,Grace Thompson,grace.thompson19@example.com,2022-03-24,ACTIVE
151,Edsger Hamilton,edsger.hamilton205@example.com,2022-05-03,SUSPENDED
152,Edsger Liskov,edsger.liskov8311@example.com,2022-04-04,ACTIVE
153,Linus van Rossum,linus.van.rossum4454@example.com,2022-09-08,ACTIVE
154,James Torvalds,james.torvalds383@example.com,2021-04-02,ACTIVE
155,Satoshi Ritchie,satoshi.ritchie9002@example.com,2021-04-19,ACTIVE
156,Katherine Lamarr,katherine.lamarr4437@example.com,2021-02-08,ACTIVE
157,James Johnson,james.johnson5101@example.com,2023-04-16,ACTIVE
158,Grace Ritchie,grace.ritchie7588@example.com,2021-07-12,ACTIVE
159,Satoshi Liskov,satoshi.liskov3799@example.com,2021-04-14,SUSPENDED
160,Barbara Shannon,barbara.shannon8248@example.com,2022-02-20,ACTIVE
161,Margaret Nakamoto,margaret.nakamoto2075@example.com,2022-07-01,ACTIVE
162,Dennis Ritchie,dennis.ritchie677@example.com,2023-09-01,ACTIVE
163,Edsger Lamarr,edsger.lamarr8439@example.com,2021-10-18,ACTIVE
164,Ada Torvalds,ada.torvalds7994@example.com,2022-07-15,ACTIVE
165,Alan Lovelace,alan.lovelace1062@example.com,2021-01-08,ACTIVE
166,Dennis Gosling,dennis.gosling8691@example.com,2023-09-18,ACTIVE
167,Alan Berners-Lee,alan.berners-lee7082@example.com,2022-06-12,ACTIVE
168,Hedy van Rossum,hedy.van.rossum4979@example.com,2022-09-10,ACTIVE
169,Barbara Knuth,barbara.knuth6600@example.com,2023-04-13,ACTIVE
170,Claude Lamarr,claude.lamarr2783@example.com,2023-10-22,ACTIVE
171,John Nakamoto,john.nakamoto7436@example.com,2022-04-25,ACTIVE
172,Claude Ritchie,claude.ritchie7086@example.com,2022-01-20,ACTIVE
173,John Liskov,john.liskov2107@example.com,2022-02-13,ACTIVE
174,Dennis Liskov,dennis.liskov6598@example.com,2021-03-10,ACTIVE
175,Frances Nakamoto,frances.nakamoto4682@example.com,2021-05-21,ACTIVE
176,Dennis Shannon,dennis.shannon1959@example.com,2021-02-18,SUSPENDED
177,Ken Johnson,ken.johnson5053@example.com,2023-07-30,ACTIVE
178,Edsger Hamilton,edsger.hamilton6083@example.com,2023-10-02,ACTIVE
179,Satoshi Jackson,satoshi.jackson4395@example.com,2023-11-13,ACTIVE
180,Alan Liskov,alan.liskov68@example.com,2022-04-02,ACTIVE
181,Claude Backus,claude.backus845@example.com,2023-06-24,ACTIVE
182,Satoshi van Rossum,satoshi.van.rossum1112@example.com,2023-09-08,ACTIVE
183,Tim Liskov,tim.liskov2181@example.com,2023-02-04,ACTIVE
184,Hedy Knuth,hedy.knuth6035@example.com,2023-01-09,ACTIVE
185,Edsger Dijkstra,edsger.dijkstra2384@example.com,2022-01-13,ACTIVE
186,Barbara van Rossum,barbara.van.rossum606@example.com,2021-07-04,ACTIVE
187,Ken Johnson,ken.johnson2358@example.com,2023-03-17,ACTIVE
188,Claude Shannon,claude.shannon3377@example.com,2021-12-09,SUSPENDED
189,Hedy Nakamoto,hedy.nakamoto1311@example.com,2021-10-06,ACTIVE
190,Linus Johnson,linus.johnson9050@example.com,2022-01-21,ACTIVE
191,Alan Gosling,alan.gosling1289@example.com,2023-11-25,ACTIVE
192,Dennis van Rossum,dennis.van.rossum7927@example.com,2021-10-22,ACTIVE
193,Ken Backus,ken.backus3226@example.com,2021-02-17,ACTIVE
194,Linus Nakamoto,linus.nakamoto4767@example.com,2022-08-20,ACTIVE
195,Frances Hopper,frances.hopper4402@example.com,2023-03-18,ACTIVE
196,Linus Nakamoto,linus.nakamoto796@example.com,2021-11-12,ACTIVE
197,Frances Turing,frances.turing1844@example.com,2023-12-06,ACTIVE
198,Edsger Backus,edsger.backus4297@example.com,2021-01-23,ACTIVE
199,Linus Knuth,linus.knuth7160@example.com,2022-08-15,ACTIVE
200,John Hamilton,john.hamilton3962@example.com,2022-06-18,SUSPENDED
201,Claude Knuth,claude.knuth5906@example.com,2023-07-04,ACTIVE
202,Ken Hopper,ken.hopper6125@example.com,2021-05-05,ACTIVE
203,Claude van Rossum,claude.van.rossum4272@example.com,2022-11-29,ACTIVE
204,Barbara Hopper,barbara.hopper9423@example.com,2022-09-13,ACTIVE
205,Grace Backus,grace.backus6689@example.com,2022-05-19,ACTIVE
206,Grace Jackson,grace.jackson9998@example.com,2021-02-25,ACTIVE
207,Katherine Lovelace,katherine.lovelace3654@example.com,2021-05-07,ACTIVE
208,Ken Berners-Lee,ken.berners-lee6064@example.com,2022-10-23,ACTIVE
209,Hedy Thompson,hedy.thompson3210@example.com,2023-07-09,ACTIVE
210,Dennis Gosling,dennis.gosling260@example.com,2021-01-07,ACTIVE
211,Katherine Liskov,katherine.liskov37@example.com,2021-12-22,ACTIVE
212,Ken Nakamoto,ken.nakamoto8058@example.com,2022-05-21,ACTIVE
213,James Allen,james.allen776@example.com,2023-07-02,ACTIVE
214,Grace Turing,grace.turing6376@example.com,2021-02-15,ACTIVE
215,Grace Berners-Lee,grace.berners-lee71@example.com,2022-04-04,ACTIVE
216,Linus Dijkstra,linus.dijkstra4093@example.com,2022-12-28,ACTIVE
217,Tim Torvalds,tim.torvalds8094@example.com,2022-06-16,ACTIVE
218,James Ritchie,james.ritchie6540@example.com,2021-03-19,ACTIVE
219,Guido Backus,guido.backus5110@example.com,2021-07-24,ACTIVE
220,Grace van Rossum,grace.van.rossum3613@example.com,2023-11-07,ACTIVE
221,Dennis Nakamoto,dennis.nakamoto6271@example.com,2022-01-18,ACTIVE
222,Tim Lamarr,tim.lamarr7992@example.com,2021-10-21,ACTIVE
223,Mary Hamilton,mary.hamilton3569@example.com,2023-05-26,ACTIVE
224,Alan Lamarr,alan.lamarr9643@example.com,2023-02-18,ACTIVE
225,Frances Nakamoto,frances.nakamoto3118@example.com,2021-06-12,SUSPENDED
226,Donald Thompson,donald.thompson506@example.com,2023-07-31,SUSPENDED
227,Alan Shannon,alan.shannon1269@example.com,2023-04-25,ACTIVE
228,Ken Torvalds,ken.torvalds5594@example.com,2023-12-28,ACTIVE
229,Grace Thompson,grace.thompson3296@example.com,2021-11-14,SUSPENDED
230,Hedy Dijkstra,hedy.dijkstra9150@example.com,2022-04-13,ACTIVE
231,Tim Hamilton,tim.hamilton2471@example.com,2022-07-18,ACTIVE
232,Dennis Lovelace,dennis.lovelace1312@example.com,2022-10-16,ACTIVE
233,Edsger Jackson,edsger.jackson239@example.com,2021-04-19,ACTIVE
234,James Hamilton,james.hamilton8638@example.com,2023-04-18,ACTIVE
235,Dennis Allen,dennis.allen7483@example.com,2022-03-10,ACTIVE
236,Edsger Hamilton,edsger.hamilton6601@example.com,2023-03-31,ACTIVE
237,Hedy Dijkstra,hedy.dijkstra8574@example.com,2023-06-07,ACTIVE
238,Claude Lamarr,claude.lamarr9217@example.com,2023-04-24,ACTIVE
239,Donald Dijkstra,donald.dijkstra6904@example.com,2023-02-12,ACTIVE
240,Hedy Torvalds,hedy.torvalds888@example.com,2021-03-11,ACTIVE
241,Frances van Rossum,frances.van.rossum4582@example.com,2021-12-12,ACTIVE
242,Hedy Hamilton,hedy.hamilton5029@example.com,2021-10-18,ACTIVE
243,Edsger Jackson,edsger.jackson1481@example.com,2023-11-20,ACTIVE
244,Barbara Ritchie,barbara.ritchie5956@example.com,2021-06-18,ACTIVE
245,Guido van Rossum,guido.van.rossum9733@example.com,2021-05-15,ACTIVE
246,Mary Dijkstra,mary.dijkstra7192@example.com,2021-11-18,ACTIVE
247,Edsger Knuth,edsger.knuth3919@example.com,2023-06-08,ACTIVE
248,Ada Jackson,ada.jackson6457@example.com,2023-05-27,SUSPENDED
249,Barbara Nakamoto,barbara.nakamoto6592@example.com,2022-04-14,SUSPENDED
250,Ken Turing,ken.turing1920@example.com,2022-01-05,ACTIVE
251,Alan Johnson,alan.johnson163@example.com,2022-03-04,ACTIVE
252,Donald Backus,donald.backus6844@example.com,2021-01-09,ACTIVE
253,Hedy Backus,hedy.backus1871@example.com,2022-02-15,ACTIVE
254,John Backus,john.backus3549@example.com,2023-12-01,ACTIVE
255,Ada Hamilton,ada.hamilton7630@example.com,2021-03-04,ACTIVE
256,Barbara Turing,barbara.turing8907@example.com,2023-05-18,ACTIVE
257,Katherine Backus,katherine.backus8703@example.com,2023-05-08,ACTIVE
258,Satoshi Hamilton,satoshi.hamilton4084@example.com,2021-01-29,ACTIVE
259,Grace Liskov,grace.liskov2121@example.com,2023-03-05,ACTIVE
260,Donald Ritchie,donald.ritchie3998@example.com,2022-10-25,ACTIVE
261,Linus Knuth,linus.knuth8265@example.com,2023-08-23,ACTIVE
262,Ada Thompson,ada.thompson660@example.com,2021-11-29,ACTIVE
263,Grace Gosling,grace.gosling2274@example.com,2023-02-07,ACTIVE
264,Tim Dijkstra,tim.dijkstra2963@example.com,2022-07-17,SUSPENDED
265,Claude Johnson,claude.johnson270@example.com,2023-10-17,ACTIVE
266,Linus Shannon,linus.shannon3981@example.com,2022-06-27,ACTIVE
267,James Liskov,james.liskov3973@example.com,2021-10-26,ACTIVE
268,Barbara Shannon,barbara.shannon8187@example.com,2022-07-20,ACTIVE
269,Ada Liskov,ada.liskov9330@example.com,2021-08-19,ACTIVE
270,Linus Liskov,linus.liskov2488@example.com,2023-09-08,ACTIVE
271,Ada Torvalds,ada.torvalds9606@example.com,2022-01-05,ACTIVE
272,Satoshi Knuth,satoshi.knuth6730@example.com,2022-11-01,ACTIVE
273,Alan van Rossum,alan.van.rossum4227@example.com,2022-03-13,ACTIVE
274,Claude Thompson,claude.thompson5435@example.com,2021-05-10,ACTIVE
275,Satoshi Shannon,satoshi.shannon6952@example.com,2023-04-07,ACTIVE
276,Donald Shannon,donald.shannon495@example.com,2022-10-24,ACTIVE
277,Tim Lovelace,tim.lovelace7397@example.com,2023-03-12,ACTIVE
278,Katherine van Rossum,katherine.van.rossum3279@example.com,2022-10-10,SUSPENDED
279,John Berners-Lee,john.berners-lee1791@example.com,2022-11-23,ACTIVE
280,Tim Allen,tim.allen7528@example.com,2023-01-11,ACTIVE
281,Ken Lamarr,ken.lamarr4224@example.com,2021-04-02,ACTIVE
282,Dennis Berners-Lee,dennis.berners-lee3167@example.com,2021-12-14,ACTIVE
283,Tim Torvalds,tim.torvalds5365@example.com,2021-02-09,ACTIVE
284,Claude Johnson,claude.johnson4981@example.com,2022-05-14,ACTIVE
285,Claude Lamarr,claude.lamarr329@example.com,2021-11-25,ACTIVE
286,Margaret Backus,margaret.backus1466@example.com,2021-12-27,ACTIVE
287,Mary Lovelace,mary.lovelace6450@example.com,2023-02-13,ACTIVE
288,Katherine Jackson,katherine.jackson5980@example.com,2023-04-13,ACTIVE
289,Mary van Rossum,mary.van.rossum8441@example.com,2021-12-16,ACTIVE
290,Claude Thompson,claude.thompson5178@example.com,2021-08-14,ACTIVE
291,Alan Knuth,alan.knuth1691@example.com,2023-12-17,ACTIVE
292,James Turing,james.turing6479@example.com,2022-04-09,ACTIVE
293,John Lovelace,john.lovelace5251@example.com,2022-11-21,ACTIVE
294,James Ritchie,james.ritchie1703@example.com,2022-11-16,ACTIVE
295,Grace Hamilton,grace.hamilton2883@example.com,2022-03-28,ACTIVE
296,Mary Gosling,mary.gosling1245@example.com,2022-09-19,ACTIVE
297,Hedy Johnson,hedy.johnson2048@example.com,2022-04-06,ACTIVE
298,Mary Dijkstra,mary.dijkstra2547@example.com,2022-12-28,ACTIVE
299,Grace Hamilton,grace.hamilton553@example.com,2021-06-23,ACTIVE
300,Donald Knuth,donald.knuth9456@example.com,2021-02-20,ACTIVE
301,Katherine Johnson,katherine.johnson2797@example.com,2021-07-28,ACTIVE
302,Dennis Shannon,dennis.shannon573@example.com,2023-12-17,ACTIVE
303,Guido Berners-Lee,guido.berners-lee5432@example.com,2023-01-01,ACTIVE
304,John Liskov,john.liskov6535@example.com,2022-01-25,ACTIVE
305,Margaret Thompson,margaret.thompson5218@example.com,2023-05-03,ACTIVE
306,Mary Dijkstra,mary.dijkstra4758@example.com,2023-10-09,ACTIVE
307,Barbara Ritchie,barbara.ritchie8757@example.com,2022-06-03,ACTIVE
308,John Liskov,john.liskov2442@example.com,2021-04-09,ACTIVE
309,Donald Hopper,donald.hopper6283@example.com,2021-02-14,SUSPENDED
310,Barbara Gosling,barbara.gosling8494@example.com,2022-09-10,ACTIVE
311,James Backus,james.backus7509@example.com,2023-10-10,ACTIVE
312,Donald Nakamoto,donald.nakamoto2897@example.com,2021-04-08,ACTIVE
313,Frances van Rossum,frances.van.rossum4058@example.com,2023-06-20,ACTIVE
314,Ken Thompson,ken.thompson7256@example.com,2022-09-01,ACTIVE
315,Donald Lamarr,donald.lamarr3104@example.com,2023-02-24,ACTIVE
316,Frances Hopper,frances.hopper1501@example.com,2023-03-31,ACTIVE
317,Ken Torvalds,ken.torvalds5494@example.com,2022-01-02,ACTIVE
318,Hedy Berners-Lee,hedy.berners-lee9156@example.com,2023-03-26,ACTIVE
319,Satoshi Hopper,satoshi.hopper8788@example.com,2023-09-03,ACTIVE
320,Linus Allen,linus.allen5571@example.com,2022-05-27,ACTIVE
321,Frances Liskov,frances.liskov7836@example.com,2022-12-27,ACTIVE
322,Linus Hopper,linus.hopper5360@example.com,2023-12-02,ACTIVE
323,Barbara Lovelace,barbara.lovelace7730@example.com,2021-05-29,ACTIVE
324,Claude Nakamoto,claude.nakamoto4128@example.com,2023-09-02,ACTIVE
325,Mary Ritchie,mary.ritchie4907@example.com,2021-04-17,ACTIVE
326,Margaret Thompson,margaret.thompson4033@example.com,2022-03-11,ACTIVE
327,Donald Dijkstra,donald.dijkstra3577@example.com,2023-04-16,ACTIVE
328,James Dijkstra,james.dijkstra8900@example.com,2022-10-26,SUSPENDED
329,Satoshi van Rossum,satoshi.van.rossum7476@example.com,2021-11-15,ACTIVE
330,Ada van Rossum,ada.van.rossum4354@example.com,2023-08-02,ACTIVE
331,Dennis Thompson,dennis.thompson265@example.com,2022-04-04,ACTIVE
332,Ada Knuth,ada.knuth6707@example.com,2021-01-01,ACTIVE
333,John Turing,john.turing4549@example.com,2023-09-11,ACTIVE
334,Frances Hopper,frances.hopper2173@example.com,2022-04-21,ACTIVE
335,Edsger Jackson,edsger.jackson7683@example.com,2022-05-01,ACTIVE
336,Guido Shannon,guido.shannon5862@example.com,2023-06-08,ACTIVE
337,Hedy Gosling,hedy.gosling5695@example.com,2022-03-11,ACTIVE
338,Hedy Nakamoto,hedy.nakamoto9686@example.com,2021-05-06,ACTIVE
339,Katherine Backus,katherine.backus1338@example.com,2023-10-15,ACTIVE
340,Margaret Knuth,margaret.knuth6926@example.com,2023-12-14,ACTIVE
341,Katherine Hamilton,katherine.hamilton8610@example.com,2023-03-19,ACTIVE
342,Dennis Knuth,dennis.knuth7083@example.com,2021-01-30,SUSPENDED
343,Ada Hamilton,ada.hamilton4656@example.com,2022-02-22,ACTIVE
344,Mary Berners-Lee,mary.berners-lee5626@example.com,2021-08-06,SUSPENDED
345,James Backus,james.backus548@example.com,2023-07-04,ACTIVE
346,Ada Berners-Lee,ada.berners-lee4348@example.com,2023-01-21,ACTIVE
347,Alan Allen,alan.allen3102@example.com,2022-07-30,SUSPENDED
348,Barbara Backus,barbara.backus4527@example.com,2021-11-12,ACTIVE
349,Barbara Jackson,barbara.jackson1990@example.com,2022-05-19,ACTIVE
350,Alan Lamarr,alan.lamarr4849@example.com,2022-05-09,ACTIVE
351,Claude Turing,claude.turing1963@example.com,2021-04-23,ACTIVE
352,John Thompson,john.thompson3095@example.com,2023-07-19,ACTIVE
353,Donald Dijkstra,donald.dijkstra6845@example.com,2021-02-06,SUSPENDED
354,Edsger Gosling,edsger.gosling7199@example.com,2022-06-30,ACTIVE
355,Claude van Rossum,claude.van.rossum1207@example.com,2023-12-06,ACTIVE
356,Margaret Liskov,margaret.liskov483@example.com,2023-02-24,ACTIVE
357,Katherine Jackson,katherine.jackson8762@example.com,2023-07-25,ACTIVE
358,Ada Dijkstra,ada.dijkstra9195@example.com,2021-10-21,ACTIVE
359,Linus Gosling,linus.gosling5698@example.com,2022-10-14,ACTIVE
360,Ada Ritchie,ada.ritchie3104@example.com,2022-08-11,ACTIVE
361,Alan Berners-Lee,alan.berners-lee136@example.com,2021-12-23,ACTIVE
